ServerSubCategory,FriendlyName,modernisation_candidate,modernisation_treatment,default_flag,modernisation_strategy,modernisation_complexity,applicable_treatment,complexity_score,migration_goal_category,combo_flag,light_modernisation_id,modernisation_focused_id,key_benefits,modernisation_candidate_description,modernisation_candidate_logo
Microsoft .NET,.NET,Azure App Service,.NET-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,1,web_approach,0,304,,Fully managed platform for hosting .NET applications; supports autoscaling and integration with DevOps.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET,.NET,Azure Kubernetes Service,.NET-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,A fully managed Kubernetes service that simplifies cluster management and reduces operational overhead.,"Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET,.NET,Azure Container Instances,.NET-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET,.NET,Eliminate,Eliminate .NET,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET,.NET,IaaS,.NET-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET,.NET,Azure Container Apps,.NET-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 6,.NET 6,Azure App Service,.NET 6-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,1,web_approach,0,304,,Fully managed platform for hosting .NET applications; supports autoscaling and integration with DevOps.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 6,.NET 6,Azure Kubernetes Service,.NET 6-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,A fully managed Kubernetes service that simplifies cluster management and reduces operational overhead.,"Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 6,.NET 6,Azure Container Instances,.NET 6-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 6,.NET 6,Eliminate,Eliminate .NET 6,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET 6,.NET 6,IaaS,.NET 6-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET 6,.NET 6,Azure Container Apps,.NET 6-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 7,.NET 7,Azure App Service,.NET 7-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,1,web_approach,0,304,,Fully managed platform for hosting .NET applications; supports autoscaling and integration with DevOps.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 7,.NET 7,Azure Kubernetes Service,.NET 7-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,A fully managed Kubernetes service that simplifies cluster management and reduces operational overhead.,"Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 7,.NET 7,Azure Container Instances,.NET 7-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 7,.NET 7,Eliminate,Eliminate .NET 7,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET 7,.NET 7,IaaS,.NET 7-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET 7,.NET 7,Azure Container Apps,.NET 7-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 8,.NET 8,Azure App Service,.NET 8-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,1,web_approach,0,304,,Fully managed platform for hosting .NET applications; supports autoscaling and integration with DevOps.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 8,.NET 8,Azure Kubernetes Service,.NET 8-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,A fully managed Kubernetes service that simplifies cluster management and reduces operational overhead.,"Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 8,.NET 8,Azure Container Instances,.NET 8-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 8,.NET 8,Eliminate,Eliminate .NET 8,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET 8,.NET 8,IaaS,.NET 8-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET 8,.NET 8,Azure Container Apps,.NET 8-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 9,.NET 9,Azure App Service,.NET 9-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,1,web_approach,0,304,,Fully managed platform for hosting .NET applications; supports autoscaling and integration with DevOps.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 9,.NET 9,Azure Kubernetes Service,.NET 9-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,A fully managed Kubernetes service that simplifies cluster management and reduces operational overhead.,"Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 9,.NET 9,Azure Container Instances,.NET 9-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET 9,.NET 9,Eliminate,Eliminate .NET 9,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET 9,.NET 9,IaaS,.NET 9-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET 9,.NET 9,Azure Container Apps,.NET 9-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework,Azure App Service,.NET Framework-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework,Azure Kubernetes Service,.NET Framework-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework,Azure Container Instances,.NET Framework-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework,Eliminate,Eliminate .NET Framework,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework,IaaS,.NET Framework-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework,Azure Container Apps,.NET Framework-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
